"ID","title","details","credit"
"s0005V1962","The Potato Eaters","oil on canvas 82 cm x 114 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0019V1962","Garden with Courting Couples Square SaintPierre","oil on canvas 750 cm x 1130 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0022V1962","SelfPortrait as a Painter","oil on canvas 651 cm x 50 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0027V1962","The Langlois Bridge","oil on canvas 596 cm x 736 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0029V1962","The Sower","oil on canvas 325 cm x 403 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0031V1962","Sunflowers","oil on canvas 95 cm x 73 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0032V1962","The Yellow House The Street","oil on canvas 72 cm x 915 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0047V1962","The Bedroom","oil on canvas 724 cm x 913 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0049V1962","Wheatfield with a Reaper","oil on canvas 732 cm x 927 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0050V1962","Irises","oil on canvas 927 cm x 739 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0106V1962","Wheatfield under Thunderclouds","oil on canvas 504 cm x 1013 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0149V1962","Wheatfield with Crows","oil on canvas 505 cm x 103 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0176V1962","Almond Blossom","oil on canvas 733 cm x 924 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"s0195V1962","Tree Roots","oil on canvas 503 cm x 1001 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0171V1962","Peasant Woman Digging","chalk on paper 557 cm x 410 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0222V1962","Garden of the Hospital","pencil reed pen and pen and brush and ink on paper 466 cm x 599 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0337V1962","Window in the Studio","chalk brush and oil paint and watercolour on paper 620 cm x 476 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0340V1962","Tree with Ivy in the Garden of the Asylum","pencil reed pen and brush and ink on paper 618 cm x 471 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0344V1962","The Rock of Montmajour with Pine Trees","pencil pen reed pen and brush and ink on paper 491 cm x 610 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0364V1968","Pollard Birches","pencil pen and ink watercolour on paper 395 cm x 542 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0378V1962","Worn Out","pencil on paper 504 cm x 316 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0386M1977","Landscape with a Stack of Peat and Farmhouses","watercolour on paper 417 cm x 541 cm","Credits Van Gogh Museum Amsterdam"
"d0420V1962","Gate in the Paris Ramparts","pencil pen and ink watercolour on paper 241 cm x 316 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0423V1962","Weaver","pencil watercolour pen and ink on paper 355 cm x 446 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
"d0446V1962","Old Vineyard with Peasant Woman","pencil brush and oil paint and watercolour on paper 443 cm x 540 cm","Credits obliged to state Van Gogh Museum Amsterdam Vincent van Gogh Foundation"
