"ID","a","1","2","3","4","5","6","7","8","9","cat","639","10","11","12","13","14","143","67","exhib","15","37","16","17","217","18","19","xxii","b","no","581","316","52","127","91","197","348","20","159","39","21","22","379","23","24","25","26","27","28","321","294","265","277","291","46","320","204","78","1876","34","161","c","53","54","ch","117","139","183","29","30","31","32","33","35","36","38","40","41","42","43","44","45","47","48","49","50","51","55","56","57","58","59","60","61","62","63","64","65","66","68","69","70","71","72","73","74","75","76","77","79","80","81","82","83","84","108","412","86","85","87","89","90","92","132","93","94","95","96","97","98","99","100","101","103","104","105","106","107","109","110","111","112","113","114","115","116","118","119","120","121","122","124","125","126","128","332","nos","rhy","253","382","xv","713","34a","429","136","200","731","541","d","190","e","438","361","places","278","102","225","xxxiv","138","500","306","201","268","240","494","364","f","g","152","viii","147","189","355","346","473","487","353","133","157","360","508","232","1004","etc","145","579","158","236","172","168","188","193","185","385","860","259","288","405","374","181","269","301","829","693","489","341","501","452","493","525","295","700","597","376","549","297","465","293","559","393","377","882","616","408","588","285","347","669","180","228","557","156","173","313","520","416","553","233","328","608","512","648","577","449","309","272","481","617","620","584","565","605","582","141","397","135","194","543","389","637","169","352","440","365","241","137","437","384","407","284","252","516","1890","260","213","748","611","373","lxi","146","522","845","174","333","521","340","536","672","720","589","274","207","166","171","878","painters","634","299","271","322","1882","289","292","305","1457","339","176","263","1474","239","797","1487","1141","282","394","xix","247","1614","1618","1628","1629","xvi","3103","ed","242","167","144","164","179","237","296","198","552","186","192","609","251","337","264","6635","478","612","234","xxi","211","318","334","324","356","503","266","358","280","1888","177","279","1017","442","484","2231","2765","267","331","338","203","1880","1881","436","367","363","163","223","774","614","al","178","155","244","249","130","150","153"
"let001","Expression meaning to make the most of an opportunity. In the context of this letter it could also be meant literally","Theo attended secondary school in Oisterwijk in the province of North Brabant. He walked the 6 km to school from his parents house in Helvoirt. The fact that Vincent assumes Theo must have felt anxious during these long walks must have something to do with the stormy autumn weather: they were having at the time which included frequent showers strong winds and occasional thunderstorms (KNMI)","The trotting races took place on Saturday 28 September at 11.00 in the Haagse Bos during the Nationale- en Internationale tentoonstelling (National and International Exhibition) held on the Malieveld from 21-30 September 1872 on the occasion of the 25th anniversary of the Hollandsche Maatschappij van Landbouw (Dutch Agricultural Association). See Landbouw-Courant 26 (1872) 21 September no. 39 p. 162","The programme included a display of fireworks on Thursday on the terrace of the Stedelijk Badhuis (Municipal Baths) an illumination on Friday in the garden of the Zoologisch Botanisch Genootschap (Zoological Botanical Society) and in the same garden a Bengal light on Saturday. The bad weather caused the fireworks to be postponed several times according to a report in Het Vaderland of 30 September 1872 no. 232","The family of Carl Adolph Haanebeek was distantly related via his second wife Leonarda Catharina Adriana Stricker to the Van Gogh family","Van Gogh boarded with Willem Marinus Roos and his wife Dina Margrieta van Aalst who lived at Lange Beestenmarkt 32 in The Hague. The couple had no children.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"let001a",,"Van Gogh must have been asked to bid on Verzijls behalf at an auction in The Hague (see note 3)","On 30 April 1873 Willem van Stockum married Caroline van Haanebeek who was related to the Van Gogh family. Vincent was in touch with the young couple at this time and later corresponded with them from London. See letters 10 12 14 16 18 and 20","Van Gogh must have visited the auction of books and prints from the estates of A.K. Kemper and J. de Vos which took place from 21 to 29 October 1872 at the premises of W.P. van Stockum in The Hague. There is a copy of the auction catalogue in the University of Amsterdam Library call number OTM: KVB NV 2223:3. Van Stockum was the celebrated book dealer publisher antiquarian bookseller and auctioneer of Buitenhof in The Hague and the founder of the booksellers and publishers W.P. van Stockum en Zoon on whom see http://www.vanstockum.nl/book/","Verzijl was retired and had been lodging for some time in Jagtlust a country house in Helvoirt belonging to the De Jonge van Zwijnsbergen family of Zwijnsbergen Castle. It seems that he had been employed as a tutor by the family at the end of his career. In February 1875 Verzijl was one of the 22 guests at the 53rd birthday party of the Reverend Theodorus van Gogh who was on a friendly footing with the well-to-do residents and dignitaries in the village (FR b2320). He died at Jagtlust in 1881.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"let002",,"The news was that on 1 January 1873 Theo was to start work at the Brussels branch of the art dealer Goupil & Co. 58 rue Montagne de la Cour (Hofbergstraat)","Van Gogh worked as an assistant at the Hague branch of Goupil & Co. located at Plaats 14.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"let003","Meaning: Did he stop off did he interrupt his journey? 10. This colleague of Theo at Goupils in Brussels is most likely the later landscape painter Edouard Michel Ferdinand Hamman son of the artist Edouard Jean Conrad Hamman. In 1878 Uncle Vincent van Gogh wrote to Theo mentioning the Hamman family and Eduard in connection with one another : Have you ever gone to see the Hamman family? Theyre home again. Eduard will also be coming back from his studies around 15 Oct. (FR b5342 cf. letters 41 and 189). Eduard left on 15 October 1873 (FR b2669). See Hostyn 1978 pp. 138 143.","Theo boarded with the family of the minister Hendrik van den Brink place St Catherine 5 in Brussels (cf. FR b2594 b2608 and SAB)","Tobias Victor Schmidt was Theos boss at Goupil & Co. in Brussels. He called himself Marchand de gravures et tableaux (Dealer in engravings and paintings) (SAB Civil registration)","Vincent sent 25 guilders of this bonus to his parents. Mr van Gogh wrote to Theo: Vincent sent us 25 guilders of his savings to help us out. Lies and Willemien needed new clothes and Ma will use the money for that. How good of Vincent. So he realizes that he wants to be of assistance to us and he sets a good example for the others (FR b2596 24 January 1873). At this time Theo was earning a starting salary of 30 francs or approximately 15 guilders a month (FR b2604 19 February)","Emile Louis Vernier made a great many reproductions after the work of Jean-Baptiste Camille Corot including the collection of Emile Vernier. Douze lithographies dapres Corot. Notice par Philippe Burty. Paris Librairie artistique 1870 (without mention of price). Below the lithographs is recorded Impr. Lemercier. The lithographs were made after works in the collections of among others Hadingue Gravet Desire Rouart and Sensier (three pieces) including the Girl reading (no. 9) (Paris BNF Cabinet des Estampes). Ill. 1694 ","This portrait photograph was taken by the photographer J.M.W. de Louw (FR b4784). Ill. 1695 ","The Palais des Academies also called the Palais Ducal in rue Ducale housed the Musee des Platres and the Musee Moderne","Hendrik (Hein) Vincent van Gogh retired art dealer in Brussels brother of Mr van Gogh. He suffered from an unidentified wasting disease","Uncle Heins second wife was Maria van Gogh-Boon Aunt Mietje","Vincent van Gogh retired art dealer and collector brother of Mr van Gogh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"let004",,"Poor health had forced Uncle Hein to retire from art dealing in 1872","Cornelis (Cor) Marinus van Gogh brother of Mr van Gogh and often called C.M. by family members had a bookshop and art gallery at Keizersgracht 453 in Amsterdam","The Rijksmuseum was housed at the time in the so-called Trippenhuis at Kloveniersburgwal 29 in Amsterdam. The buildings accommodations and suitability were the object of much criticism. See Honderd jaar Rijksmuseum 1985","It is not known which painting by Alfred Cluysenaar this refers to","The following works by Cluysenaar were on display at the Brussels Salon which Van Gogh had visited in 1872: Mazeppa Portraits de MM. Paul et Edmond R. (Mazeppa Portraits of Messieurs Paul and Edmond R.) and a Portrait (Portrait). See exhib","Van Gogh underlined the Christian name of Alfred to distinguish him from his brother Joseph Stevens who was also a painter","Antonio Rotta was represented at Brussels by the painting Il ciabattino (The cobbler). Exhib","In the summer of 1872 Van Gogh had visited the triennial salon Exposition generale des Beaux-Arts (General Exhibition of Fine Arts) at Brussels which was held from 15 August to 15 October see letter 13","The way in which he asked about the album in letter 3 suggests that Van Gogh was referring to the album of lithographs by Emile Louis Vernier after work by Camille Corot. Apparently Theo had sent the title of an album containing work by Corot","Brussels 1872 p. 78 cat. no","Three works bearing this title and depicting similar themes have been found an example being At the cobblers 1867 (present whereabouts unknown) sold at Christies (London) on 24 June 1988 (no. 43). Ill. 1295 ","Anna Cornelia van Gogh Van Goghs eldest sister was attending boarding school in Leeuwarden in the north of the Netherlands","Mr van Gogh would turn 51 on 8 February","Uncle Hein and Aunt Mietje in Brussels","Edouard Hamman","Sophia (Fie) Cornelia Elisabeth Carbentus-Van Bemmel wife of Arie Carbentus brother of Mrs van Gogh.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"let005",,"The directors of Goupil & Co. had decided after consulting Uncle Vincent van Gogh to transfer Vincent to the London branch. Mrs van Gogh wrote to Theo: our Vincent whom Uncle Cent and the other Gentlemen have decided will go to London this summer (FR b2597 1 February 1873)","Vincent and Theo were both at their parents house in Helvoirt (North Brabant) for Easter (13 April) (FR b2617 and b2618)","What is meant are the new editions issued by Goupil & Co. in which Teunis van Iterson tried to interest booksellers printsellers and art dealers during a sales trip. Van Iterson was an employee of Goupil & Co. in The Hague","Mrs van Gogh reported to Theo: Vincent writes that he finds it strange always hurrying during the day and then afer 7 p.m. such a quiet evening. Didnt we write to you about the two parrots at his house one of whom spoke better English than Vincent himself? I wasnt sure whether or not he meant the ladies but Uncle Cent says that having parrots in the drawing room is very common and further inquiry revealed that they were in fact birds (FR b2644 19 July 1873)","It is not known which portrait this refers to. Theo had sent the portrait to Anna via his parents shortly before 19 February (FR b2604)","On 2 March Van Gogh visited the Dutch exhibit going to the Internationale Tentoonstelling te Wenen (International Exhibition at Vienna) which was held from 19 February to 2 March 1873 in Arti et Amicitiae. See J.J. Heij Een vereeniging van ernstige kunstenaars. 150 jaar Maatschappij Arti et Amicitiae 1839-1989. Amsterdam 1989 p","The London office of Goupil & Co. 17 Southampton Street was at first only a stockroom without a shop an outlet for the wholesale trade of the reproductions published by Goupil. In 1875 the London branch established a gallery open to the public see letters 27 and 29. Works of art were also sold there however (letter 15). See also exhib","Sophia (Fie) Cornelia Elisabeth Carbentus-Van Bemmel","Willem Marinus Valkis was like Van Gogh a boarder at W.M. Rooss","Nottingham 1974 p. 8",,"Edouard Hamman.",,,,,"The paintings were exhibited from 1 May to 1 November 1873 in the Dutch pavilion at the World Exhibition in Vienna the Netherlands was represented by 167 works of art out of a total of 6600. See Jutta Pemsel Die Wiener Weltausstellung von 1873. Das grunderzeitliche Wien am Wendepunkt. Vienna and Cologne 1989 p","Cf. also Sweetman 1988 p. 43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"let006",,"On 6 May 1870 a Seascape was sent by Johannes Christianus Schotel to the art gallery of H.V. van Gogh (Uncle Hein) in Brussels (RKD Goupil Ledgers). In 1871 this work was sent on to one of the Paris branches but it must have been sent back to Brussels at some point since Van Gogh saw it there when he visited the city (between around 15 August and 15 October 1872 see letter 11 n. 8). It is not known whether the work was again sent to Paris","Van Gogh was in Brussels in the summer of 1872 see letter 4","Uncle Hein and Aunt Mietje in Brussels","Edouard Hamman","Letter 5 of 17 March.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"let007",,"Theo had turned 16 on 1 May","Uncle Hein and Aunt Mietje moved to Laken near Brussels their names were removed from the Brussels civil register on 30 April","Edouard Hamman.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"let008",,"Van Gogh was planning to be in Helvoirt by Saturday evening 10 May to take leave of his parents (FR b2626) he left Helvoirt on Monday 12 May. On his way to London he stopped off in Paris where he spent nearly a week","Maria Magdalena Alida Tersteeg-Pronk wife of Van Goghs superior Hermanus Gijsbertus Tersteeg. For this portrait cf. letter 5 n. 5","Mrs van Gogh wrote to Theo on 11 May when Vincent was in Helvoirt: Its wonderful to hear Vincent telling about how kind everyone was to him and about his leave-taking from The Hague. He was given an album and so many little presents and portraits two very large splendid portraits of Uncle and Aunt Haanebeek Mr and Mrs Tersteeg and Betsy Aunt Fietje and the girls and others (FR b2626)","Uncle Hein and Aunt Mietje in Brussels","Van Gogh took the train that went to Paris via Rotterdam Antwerp and Brussels. According to the 1873 timetable the train arrived at 14.06 at Brussels North the connection to Paris left from Brussels South at 14.35 and arrived in Paris at 21.05 (Brussels Archives of the Belgian Railways).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"let009",,"Van Gogh had started working presumably on Monday 19 May or shortly thereafter at Goupils London branch","Tobias Victor Schmidt lived in the Goupil building in Brussels: 58 rue Montagne de la Cour (Hofbergstraat). In a draft of the biographical introduction to her edition of the letters (Brieven 1914) Jo van Gogh-Bonger wrote: [Theo] lived in the house of a minister which Pa found very safe but it was dirty and dismal and he felt so alone and unhappy he slept alone in the attic where he was so afraid. He was still so young (15) but he never wrote home about it and bore it well until finally when he couldnt stand it any longer Schmidt asked him to come and live with him. Then everything was much more pleasant and enjoyable in that young bachelors household because Schmidt wasnt married and Theo prepared their breakfast in the morning and fared very well (FR b3262). It is not impossible that there was some connection between Theos dissatisfaction with his lodgings and the circumstances of Reverend Van den Brinks family to which a daughter Catharina Alberta had been born shortly before this time who was long sickly and eventually died in August (FR b2660 and SAB)","Regarding Goupils London branch see letter 5 n. 7","The address of Van Goghs boarding-house is not known","From September 1866 until March 1868 Van Gogh had attended the Hogere Burger School (High School) in Tilburg a city in the province of North Brabant","What is meant is the Salon the annual exhibition of Living Masters which had opened on 5 May 1873 in the Palais des Champs-Elysees","The collections of the Musee du Louvre and of the Living Masters in the then Musee du Luxembourg located to the east of the Palais du Luxembourg (in 1937 this museum was closed and the collection was removed to the Musee dart moderne a large part of this collection is now kept in the Musee dOrsay)","Goupil & Co. had three galleries in Paris one at rue Chaptal 9 one at boulevard Montmartre 19 and a branch at place de lOpera 2","At first Van Gogh earned 90 a year (the average exchange rate was a little over 12 guilders to the pound which amounted to an annual salary of 1090 guilders) but as Mr van Gogh wrote to Theo he still has to live frugally owing to the great hardship there the boarding-house and his midday meal cost him 890 guilders a year (FR b2639 2 July 1873)",,,"The German Charles Obach director of Goupil & Co. in London. Van Gogh went on this outing with Obach and his family on Sunday 8 June (FR b2634)","Box Hill is near Dorking in Surrey to the south-west of London and could be reached by train. The 6 hours that Van Gogh talks about here is the time it took to walk that distance","That year Whit Sunday and Monday fell on 1 and 2 June","Uncle Hein and Aunt Mietje in Brussels","Edouard Hamman.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
