"ID","F-number","JH-number","Object number","Dimensions","Provenance","artist"
"s0005V1962","F0082","JH0764","s0005V1962","82 cm x 114 cm, 100 cm x 133 cm","Sent by the artist to his brother Theo van Gogh, Paris, at the beginning of May 1885; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; transferred by Vincent Willem van Gogh, Laren, to the Vincent van Gogh Foundation, Amsterdam, 10 July 1962; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0019V1962","F0314","JH1258","s0019V1962","75.0 cm x 113.0 cm, 95.0 cm x 132.4 cm","Left by the artist at the apartment of his brother Theo van Gogh, Paris, in the second half of May 1887; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Vincent Willem van Gogh, Laren to the Rijksmuseum, Amsterdam, from 1927 to 1930; given on loan by Vincent Willem van Gogh to the Stedelijk Museum, Amsterdam, since 22 October 1931; donated by Vincent Willem van Gogh to the (1st) Vincent van Gogh Foundation, Laren, 11 March 1952; transferred by the (1st) Vincent van Gogh Foundation to the Theo van Gogh Foundation, Laren, 28 December 1960; agreement concluded on 21 July 1962 between the (2nd) Vincent van Gogh Foundation, Amsterdam, and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; donated on 21 July 1962 by the Theo van Gogh Foundation to the Vincent van Gogh Foundation; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0022V1962","F0522","JH1356","s0022V1962","65.1 cm x 50 cm, 86 cm x 71 cm","Left by the artist at the apartment of his brother Theo van Gogh, Paris, somewhere between December 1887 and February 1888; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; 1909 given on loan by Jo van Gogh-Bonger to the Rijksmuseum, Amsterdam; given on loan by Vincent Willem van Gogh, Laren to the Rijksmuseum, Amsterdam, from 1927 to 1930; given on loan by Vincent Willem van Gogh to the Stedelijk Museum, Amsterdam, since 22 October 1931; donated by Vincent Willem van Gogh to the (1st) Vincent van Gogh Foundation, Laren, 11 March 1952; transferred by the (1st) Vincent van Gogh Foundation to the Theo van Gogh Foundation, Laren, 28 December 1960; agreement concluded on 21 July 1962 between the (2nd) Vincent van Gogh Foundation, Amsterdam, and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State; donated on 21 July 1962 by the Theo van Gogh Foundation to the Vincent van Gogh Foundation; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0027V1962","F0400","JH1371","s0027V1962","59.6 cm x 73.6 cm, 77.1 cm x 91.0 cm","Sent by the artist from Arles to his brother Theo van Gogh, Paris, at the beginning of May 1888; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Vincent Willem van Gogh, Laren to the Stedelijk Museum, Amsterdam, since 22 October 1931; transferred by Vincent Willem van Gogh to the Vincent van Gogh Foundation, Amsterdam, 10 July 1962; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0029V1962","F0451","JH1629","s0029V1962","32.5 cm x 40.3 cm, 58.5 cm x 56.5 cm","With his brother Theo van Gogh, Paris, after May 1889; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Vincent Willem van Gogh, Laren to the Stedelijk Museum, Amsterdam, since 22 October 1931; transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0031V1962","F0458","JH1667","s0031V1962","95 cm x 73 cm, 123.6 cm x 101.2 cm","Sent by the artist from Arles to his brother Theo van Gogh, Paris, at the end of April 1889; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Jo van Gogh-Bonger to the Rijksmuseum, Amsterdam, from 1917 to 1919; transferred by Vincent Willem van Gogh, Laren, on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0032V1962","F0464","JH1589","s0032V1962","72 cm x 91.5 cm, 89.8 cm x 109.2 cm","With his brother Theo van Gogh, Paris, after the end of September 1888; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; transferred by Vincent Willem van Gogh, Laren, on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0047V1962","F0482","JH1608","s0047V1962","72.4 cm x 91.3 cm, 92.2 cm x 111 cm","Sent by the artist from Arles to his brother Theo van Gogh, Paris, at the end of April 1889; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Jo van Gogh-Bonger to the Rijksmuseum, Amsterdam, from 1917 to 1919; given on loan by Vincent Willem van Gogh, Laren to the Rijksmuseum, Amsterdam, from 1927 to 1930; given on loan by Vincent Willem van Gogh to the Stedelijk Museum, Amsterdam, since 22 October 1931; transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0049V1962","F0618","JH1773","s0049V1962","73.2 cm x 92.7 cm, 97.0 cm x 116.7 cm","Sent by the artist from Saint-Remy-de-Provence to his brother Theo van Gogh, Paris, September 1889; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; 1909 given on loan by Jo van Gogh-Bonger to the Rijksmuseum, Amsterdam; given on loan by Vincent Willem van Gogh, Laren to the Rijksmuseum, Amsterdam, from 1927 to 1930; given on loan by Vincent Willem van Gogh to the Stedelijk Museum, Amsterdam, since 22 October 1931; transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0050V1962","F0678","JH1977","s0050V1962","92.7 cm x 73.9 cm, 111.5 cm x 92.9 cm","With his brother Theo van Gogh, Paris, after the end of June 1890; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Jo van Gogh-Bonger to the Rijksmuseum, Amsterdam, from 1917 to 1919; given on loan by Vincent Willem van Gogh, Laren to the Rijksmuseum, Amsterdam, from 1927 to 1930; given on loan by Vincent Willem van Gogh to the Stedelijk Museum, Amsterdam, since 22 October 1931; transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0106V1962","F0778","JH2097","s0106V1962","50.4 cm x 101.3 cm, 70.0 cm x 121.0 cm","With his brother Theo van Gogh, Paris, after mid July 1890; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Jo van Gogh-Bonger to the Rijksmuseum, Amsterdam, from 1917 to 1919; transferred by Vincent Willem van Gogh, Laren, on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0149V1962","F0779","JH2117","s0149V1962","50.5 cm x 103 cm, 69.8 cm x 122.7 cm","With his brother Theo van Gogh, Paris, after mid-July 1890; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Vincent Willem van Gogh, Laren to the Stedelijk Museum, Amsterdam, since 22 October 1931; transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0176V1962","F0671","JH1891","s0176V1962","73.3 cm x 92.4 cm, 94.0 cm x 112.9 cm","Sent by the artist from Saint-Remy-de-Provence to his brother Theo van Gogh, Paris, at the end of April 1890; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; transferred by Vincent Willem van Gogh, Laren, on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
"s0195V1962","F0816","JH2113","s0195V1962","50.3 cm x 100.1 cm, 69.8 cm x 119.7 cm","With his brother Theo van Gogh, Paris, after July 1890; after his death on 25 January 1891, inherited by his widow, Jo van Gogh-Bonger, and their son, Vincent Willem van Gogh, Paris; administered until her death on 2 September 1925 by Jo van Gogh-Bonger, Bussum/Amsterdam/Laren; given on loan by Vincent Willem van Gogh, Laren to the Stedelijk Museum, Amsterdam, since 20 January 1931; transferred by Vincent Willem van Gogh on 10 July 1962 to the Vincent van Gogh Foundation, Amsterdam; agreement concluded between the Vincent van Gogh Foundation and the State of the Netherlands, in which the preservation and management of the collection, and its placing in the Rijksmuseum Vincent van Gogh, to be realized in Amsterdam, is entrusted to the State, 21 July 1962; given on loan until the opening of the museum on 2 June 1973 to the Stedelijk Museum, Amsterdam; on permanent loan to the Rijksmuseum Vincent van Gogh from 2 June 1973 and at the Van Gogh Museum, Amsterdam, since 1 July 1994.","Vincent van Gogh"
