"ID","rgb_img","bw_img","rgb_shape","bw_shape"
"s0005V1962","Data\Img\s0005V1962\vangoghmuseum-s0005V1962-800-rgb.jpg","Data\Img\s0005V1962\vangoghmuseum-s0005V1962-800-bw.jpg","[564, 800, 3]","[564, 800]"
"s0019V1962","Data\Img\s0019V1962\vangoghmuseum-s0019V1962-800-rgb.jpg","Data\Img\s0019V1962\vangoghmuseum-s0019V1962-800-bw.jpg","[537, 800, 3]","[537, 800]"
"s0022V1962","Data\Img\s0022V1962\vangoghmuseum-s0022V1962-800-rgb.jpg","Data\Img\s0022V1962\vangoghmuseum-s0022V1962-800-bw.jpg","[800, 608, 3]","[800, 608]"
"s0027V1962","Data\Img\s0027V1962\vangoghmuseum-s0027V1962-800-rgb.jpg","Data\Img\s0027V1962\vangoghmuseum-s0027V1962-800-bw.jpg","[651, 800, 3]","[651, 800]"
"s0029V1962","Data\Img\s0029V1962\vangoghmuseum-s0029V1962-800-rgb.jpg","Data\Img\s0029V1962\vangoghmuseum-s0029V1962-800-bw.jpg","[643, 800, 3]","[643, 800]"
"s0031V1962","Data\Img\s0031V1962\vangoghmuseum-s0031V1962-800-rgb.jpg","Data\Img\s0031V1962\vangoghmuseum-s0031V1962-800-bw.jpg","[800, 609, 3]","[800, 609]"
"s0032V1962","Data\Img\s0032V1962\vangoghmuseum-s0032V1962-800-rgb.jpg","Data\Img\s0032V1962\vangoghmuseum-s0032V1962-800-bw.jpg","[627, 800, 3]","[627, 800]"
"s0047V1962","Data\Img\s0047V1962\vangoghmuseum-s0047V1962-800-rgb.jpg","Data\Img\s0047V1962\vangoghmuseum-s0047V1962-800-bw.jpg","[634, 800, 3]","[634, 800]"
"s0049V1962","Data\Img\s0049V1962\vangoghmuseum-s0049V1962-800-rgb.jpg","Data\Img\s0049V1962\vangoghmuseum-s0049V1962-800-bw.jpg","[632, 800, 3]","[632, 800]"
"s0050V1962","Data\Img\s0050V1962\vangoghmuseum-s0050V1962-800-rgb.jpg","Data\Img\s0050V1962\vangoghmuseum-s0050V1962-800-bw.jpg","[800, 632, 3]","[800, 632]"
"s0106V1962","Data\Img\s0106V1962\vangoghmuseum-s0106V1962-800-rgb.jpg","Data\Img\s0106V1962\vangoghmuseum-s0106V1962-800-bw.jpg","[392, 800, 3]","[392, 800]"
"s0149V1962","Data\Img\s0149V1962\vangoghmuseum-s0149V1962-800-rgb.jpg","Data\Img\s0149V1962\vangoghmuseum-s0149V1962-800-bw.jpg","[383, 800, 3]","[383, 800]"
"s0176V1962","Data\Img\s0176V1962\vangoghmuseum-s0176V1962-800-rgb.jpg","Data\Img\s0176V1962\vangoghmuseum-s0176V1962-800-bw.jpg","[631, 800, 3]","[631, 800]"
"s0195V1962","Data\Img\s0195V1962\vangoghmuseum-s0195V1962-800-rgb.jpg","Data\Img\s0195V1962\vangoghmuseum-s0195V1962-800-bw.jpg","[395, 800, 3]","[395, 800]"
"s0001V1962","Data\Img\s0001V1962\vangoghmuseum-s0001V1962-800-rgb.jpg","Data\Img\s0001V1962\vangoghmuseum-s0001V1962-800-bw.jpg","[679, 800, 3]","[679, 800]"
"s0002V1962","Data\Img\s0002V1962\vangoghmuseum-s0002V1962-800-rgb.jpg","Data\Img\s0002V1962\vangoghmuseum-s0002V1962-800-bw.jpg","[648, 800, 3]","[648, 800]"
"s0003V1962","Data\Img\s0003V1962\vangoghmuseum-s0003V1962-800-rgb.jpg","Data\Img\s0003V1962\vangoghmuseum-s0003V1962-800-bw.jpg","[800, 618, 3]","[800, 618]"
"s0004V1962r","Data\Img\s0004V1962r\vangoghmuseum-s0004V1962r-800-rgb.jpg","Data\Img\s0004V1962r\vangoghmuseum-s0004V1962r-800-bw.jpg","[800, 675, 3]","[800, 675]"
"s0004V1962v","Data\Img\s0004V1962v\vangoghmuseum-s0004V1962v-800-rgb.jpg","Data\Img\s0004V1962v\vangoghmuseum-s0004V1962v-800-bw.jpg","[800, 651, 3]","[800, 651]"
"s0006V1962","Data\Img\s0006V1962\vangoghmuseum-s0006V1962-800-rgb.jpg","Data\Img\s0006V1962\vangoghmuseum-s0006V1962-800-bw.jpg","[800, 545, 3]","[800, 545]"
"s0007V1962","Data\Img\s0007V1962\vangoghmuseum-s0007V1962-800-rgb.jpg","Data\Img\s0007V1962\vangoghmuseum-s0007V1962-800-bw.jpg","[800, 620, 3]","[800, 620]"
"s0008V1962","Data\Img\s0008V1962\vangoghmuseum-s0008V1962-800-rgb.jpg","Data\Img\s0008V1962\vangoghmuseum-s0008V1962-800-bw.jpg","[664, 800, 3]","[664, 800]"
"s0009V1962","Data\Img\s0009V1962\vangoghmuseum-s0009V1962-800-rgb.jpg","Data\Img\s0009V1962\vangoghmuseum-s0009V1962-800-bw.jpg","[800, 587, 3]","[800, 587]"
"s0010V1962","Data\Img\s0010V1962\vangoghmuseum-s0010V1962-800-rgb.jpg","Data\Img\s0010V1962\vangoghmuseum-s0010V1962-800-bw.jpg","[800, 622, 3]","[800, 622]"
"s0011V1962","Data\Img\s0011V1962\vangoghmuseum-s0011V1962-800-rgb.jpg","Data\Img\s0011V1962\vangoghmuseum-s0011V1962-800-bw.jpg","[665, 800, 3]","[665, 800]"
"s0012V1962","Data\Img\s0012V1962\vangoghmuseum-s0012V1962-800-rgb.jpg","Data\Img\s0012V1962\vangoghmuseum-s0012V1962-800-bw.jpg","[727, 800, 3]","[727, 800]"
"s0013V1962","Data\Img\s0013V1962\vangoghmuseum-s0013V1962-800-rgb.jpg","Data\Img\s0013V1962\vangoghmuseum-s0013V1962-800-bw.jpg","[592, 800, 3]","[592, 800]"
"s0014V1962","Data\Img\s0014V1962\vangoghmuseum-s0014V1962-800-rgb.jpg","Data\Img\s0014V1962\vangoghmuseum-s0014V1962-800-bw.jpg","[420, 800, 3]","[420, 800]"
"s0015V1962","Data\Img\s0015V1962\vangoghmuseum-s0015V1962-800-rgb.jpg","Data\Img\s0015V1962\vangoghmuseum-s0015V1962-800-bw.jpg","[439, 800, 3]","[439, 800]"
"s0016V1962","Data\Img\s0016V1962\vangoghmuseum-s0016V1962-800-rgb.jpg","Data\Img\s0016V1962\vangoghmuseum-s0016V1962-800-bw.jpg","[800, 659, 3]","[800, 659]"
"s0017V1962","Data\Img\s0017V1962\vangoghmuseum-s0017V1962-800-rgb.jpg","Data\Img\s0017V1962\vangoghmuseum-s0017V1962-800-bw.jpg","[800, 664, 3]","[800, 664]"
"s0018V1962","Data\Img\s0018V1962\vangoghmuseum-s0018V1962-800-rgb.jpg","Data\Img\s0018V1962\vangoghmuseum-s0018V1962-800-bw.jpg","[644, 800, 3]","[644, 800]"
