"ID","title","creator-info","details","credit","section","F-number","JH-number","Object number","Dimensions","Provenance","rgb_img","bw_img","rgb_shape","bw_shape","heads","Head of a Woman","Head of a Man","Head of a Woman 1","Head of a Woman 2","Head of a Woman 3","Head of a Woman 4","Head of a Prostitute","Head of an Old Man","Torso of Venus","Torso of Venus 1","Torso of Venus 2","Torso of Venus 3","this torso of Venus","standing torso of Venus","Plaster Cast of a Womans Torso","Plaster Cast of a Womans Torso 1","Male Torso","drawing","painting","portrait","still life","nude","figure (representation)","landscape (representation)","cityscape","animal art","Horse","Kneeling Ecorche","Portrait of a Prostitute","Woman Sewing","The Potato Eaters","Letter from Vincent van Gogh to Theo van Gogh with sketches of Head of a Woman and Head of a Woman","Van Gogh wrote","he wrote","drew","complementary colours","which he painted a number of times","He would use this technique more than once in his later work","1871 - 1880","1881","1884","1885","1886","1887","1890","Nuenen","Antwerp","Paris","Auvers-sur-Oise","Brussels"
"s0004V1962r","head of a woman","vincent van gogh (1853 - 1890), nuenen, may 1885","oil on canvas, 43.5 cm x 36.2 cm","credits (obliged to state): van gogh museum, amsterdam (vincent van gogh foundation)","","F0388r","JH0782","s0004V1962r","43.5 cm x 36.2 cm","with his brother theo van gogh, paris, after may 1885; after theos death on 25 january 1891, inherited by his widow, jo van gogh-bonger, and their son, vincent willem van gogh, paris; administered until her death on 2 september 1925 by jo van gogh-bonger, bussum/amsterdam/laren; given on loan by vincent willem van gogh, laren to the stedelijk museum, amsterdam, since 16 december 1930; donated by vincent willem van gogh on 11 march 1952 to the (1st) vincent van gogh foundation, laren; transferred on 28 december 1960 by the (1st) vincent van gogh foundation to the theo van gogh foundation, laren; agreement concluded on 21 july 1962 between the (2nd) vincent van gogh foundation, amsterdam, and the state of the netherlands, in which the preservation and management of the collection, and its placing in the rijksmuseum vincent van gogh, to be realized in amsterdam, is entrusted to the state; donated on 21 july 1962 by the theo van gogh foundation to the vincent van gogh foundation; given on loan until the opening of the museum on 2 june 1973 to the stedelijk museum, amsterdam; on permanent loan to the rijksmuseum vincent van gogh from 2 june 1973 and at the van gogh museum, amsterdam, since 1 july 1994.","data\img\s0004v1962r\vangoghmuseum-s0004v1962r-800-rgb.jpg","data\img\s0004v1962r\vangoghmuseum-s0004v1962r-800-bw.jpg","[800, 675, 3]","[800, 675]","https://vangoghmuseum.nl/en/collection?genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?type=painting","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=figure (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1885","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=nuenen","localhost","localhost","localhost","localhost"
"s0006V1962","head of a woman","vincent van gogh (1853 - 1890), nuenen, april 1885","oil on canvas, 43.2 cm x 30.0 cm x 2.2 cm","credits (obliged to state): van gogh museum, amsterdam (vincent van gogh foundation)","this woman is gordina de groot, who posed with her family for the potato eaters. to prepare for that painting, van gogh made over 40 studies of farmworkers heads, including this one. he hoped this would make him a better figure painter. van gogh wanted to portray peasants as people of a special kind, who had been working the land for centuries. they remind one of the earth, sometimes appear to have been modelled out of it, vincent wrote to his brother theo. this work was a study in colour. van gogh concentrated on the complementary colours red and green.","F0160","JH0722","s0006V1962","43.2 cm x 30.0 cm, 2.2 cm x 59.0 cm, 46.2 cm x 9.5 cm","probably taken from nuenen by his brother, theo van gogh, paris, at the end of march 1885; after theos death on 25 january 1891, inherited by his widow, jo van gogh-bonger, and their son, vincent willem van gogh, paris; administered until her death on 2 september 1925 by jo van gogh-bonger, bussum/amsterdam/laren; given on loan by vincent willem van gogh, laren to the stedelijk museum, amsterdam, since 16 december 1930; transferred by vincent willem van gogh, on 10 july 1962 to the vincent van gogh foundation, amsterdam; agreement concluded on 21 july 1962 between the vincent van gogh foundation and the state of the netherlands, in which the preservation and management of the collection, and its placing in the rijksmuseum vincent van gogh, to be realized in amsterdam, is entrusted to the state; given on loan until the opening of the museum on 2 june 1973 to the stedelijk museum, amsterdam; on permanent loan to the rijksmuseum vincent van gogh from 2 june 1973 and at the van gogh museum, amsterdam, since 1 july 1994.","data\img\s0006v1962\vangoghmuseum-s0006v1962-800-rgb.jpg","data\img\s0006v1962\vangoghmuseum-s0006v1962-800-bw.jpg","[800, 545, 3]","[800, 545]","https://vangoghmuseum.nl/en/collection?genre=heads","https://vangoghmuseum.nl/en/collection/s0072v1962","https://vangoghmuseum.nl/en/collection/s0069v1962","https://vangoghmuseum.nl/en/collection/s0139v1962","https://vangoghmuseum.nl/en/collection/s0062v1962","https://vangoghmuseum.nl/en/collection/s0084v1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?type=painting","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=figure (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://www.vangoghmuseum.nl/en/stories/looking-for-contrast#3","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1885","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=nuenen","localhost","localhost","localhost","localhost"
"s0010V1962","portrait of an old woman","vincent van gogh (1853 - 1890), antwerp, december 1885","oil on canvas, 50.5 cm x 39.8 cm","credits (obliged to state): van gogh museum, amsterdam (vincent van gogh foundation)","the old womans grey hair sticks out from under her white cap. van gogh liked bonnets like this, which made a fine contrast with dark clothing and backgrounds. using rough brushstrokes, van gogh suggested the shadows in her face. in antwerp (be), van gogh wanted to master portrait painting. he heard from local art dealers that womens heads sold better than mens. from that time on, he focused on female models.","F0174","JH0978","s0010V1962","50.5 cm x 39.8 cm, 68.1 cm x 57.7 cm","with his brother theo van gogh, paris, after december 1885; after theos death on 25 january 1891, inherited by his widow, jo van gogh-bonger, and their son, vincent willem van gogh, paris; administered until her death on 2 september 1925 by jo van gogh-bonger, bussum/amsterdam/laren; transferred by vincent willem van gogh, laren, on 10 july 1962 to the vincent van gogh foundation, amsterdam; agreement concluded on 21 july 1962 between the vincent van gogh foundation and the state of the netherlands, in which the preservation and management of the collection, and its placing in the rijksmuseum vincent van gogh, to be realized in amsterdam, is entrusted to the state; given on loan until the opening of the museum on 2 june 1973 to the stedelijk museum, amsterdam; on permanent loan to the rijksmuseum vincent van gogh from 2 june 1973 and at the van gogh museum, amsterdam, since 1 july 1994.","data\img\s0010v1962\vangoghmuseum-s0010v1962-800-rgb.jpg","data\img\s0010v1962\vangoghmuseum-s0010v1962-800-bw.jpg","[800, 622, 3]","[800, 622]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?type=painting","https://vangoghmuseum.nl/en/collection?genre=portrait","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1885","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=antwerp","localhost","localhost","localhost"
"s0056V1962","torso of venus","vincent van gogh (1853 - 1890), paris, june 1886","oil on cardboard, 46.0 cm x 38.0 cm","credits (obliged to state): van gogh museum, amsterdam (vincent van gogh foundation)","van gogh was thorough in everything he did. so when he decided to practise painting plaster models of classical sculptures, he immediately produced a whole series. he painted this torso of venus five times, in each case from a different angle. this time he has turned the model to face away from him. he has used a lot of paint and followed the curves of the body with his brush.","F0216a","JH1054","s0056V1962","46.0 cm x 38.0 cm, 55.1 cm x 46.5 cm","left by the artist at the apartment of his brother theo van gogh, paris, mid-june 1886; after theos death on 25 january 1891, inherited by his widow, jo van gogh-bonger, and their son, vincent willem van gogh, paris; administered until her death on 2 september 1925 by jo van gogh-bonger, bussum/amsterdam/laren; transferred by vincent willem van gogh on 10 july 1962 to the vincent van gogh foundation, amsterdam; agreement concluded on 21 july 1962 between the vincent van gogh foundation and the state of the netherlands, in which the preservation and management of the collection, and its placing in the rijksmuseum vincent van gogh, to be realized in amsterdam, is entrusted to the state; given on loan until the opening of the museum on 2 june 1973 to the stedelijk museum, amsterdam; on permanent loan to the rijksmuseum vincent van gogh from 2 june 1973 and at the van gogh museum, amsterdam, since 1 july 1994.","data\img\s0056v1962\vangoghmuseum-s0056v1962-800-rgb.jpg","data\img\s0056v1962\vangoghmuseum-s0056v1962-800-bw.jpg","[800, 652, 3]","[800, 652]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0089v1962","https://vangoghmuseum.nl/en/collection/s0101v1962","https://vangoghmuseum.nl/en/collection/s0201v1962","localhost","https://www.vangoghmuseum.nl/en/collection/s0199v1962","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0103v1962","localhost","https://vangoghmuseum.nl/en/collection?type=painting","localhost","https://vangoghmuseum.nl/en/collection?genre=still life","https://vangoghmuseum.nl/en/collection?genre=nude","https://vangoghmuseum.nl/en/collection?genre=figure (representation)","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0202v1962","https://vangoghmuseum.nl/en/collection/s0102v1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1886","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=paris","localhost","localhost"
"s0058V1962","woman with a mourning shawl","vincent van gogh (1853 - 1890), nuenen, march-may 1885","oil on canvas, 45.5 cm x 33.0 cm","credits (obliged to state): van gogh museum, amsterdam (vincent van gogh foundation)","here, van gogh was practising painting strong contrasts between light and dark, using only a few colours ochre for hands and face and green for background and clothing. the woman is wearing a falie or mourning shawl. if you look carefully, you can just spot a white bonnet peeping out from under it. in the spring and summer of 1885, van gogh drew and painted other women wearing shawls over their heads in this way. they were worn at funerals or when in mourning.","F0161","JH0788","s0058V1962","45.5 cm x 33.0 cm, 60 cm x 48 cm","with his brother theo van gogh, paris, after may 1885; after theos death on 25 january 1891, inherited by his widow, jo van gogh-bonger, and their son, vincent willem van gogh, paris; administered until her death on 2 september 1925 by jo van gogh-bonger, bussum/amsterdam/laren; transferred by vincent willem van gogh, laren, on 10 july 1962 to the vincent van gogh foundation, amsterdam (ratified 28 december 1970); agreement concluded on 21 july 1962 between the vincent van gogh foundation and the state of the netherlands, in which the preservation and management of the collection, and its placing in the rijksmuseum vincent van gogh, to be realized in amsterdam, is entrusted to the state; given on loan until the opening of the museum on 2 june 1973 to the stedelijk museum, amsterdam; on permanent loan to the rijksmuseum vincent van gogh from 2 june 1973 and at the van gogh museum, amsterdam, since 1 july 1994.","data\img\s0058v1962\vangoghmuseum-s0058v1962-800-rgb.jpg","data\img\s0058v1962\vangoghmuseum-s0058v1962-800-bw.jpg","[800, 570, 3]","[800, 570]","https://vangoghmuseum.nl/en/collection?genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?type=painting","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=figure (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://www.vangoghmuseum.nl/en/collection/d0024v1962","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1885","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=nuenen","localhost","localhost","localhost","localhost"
"s0059V1962","head of a prostitute","vincent van gogh (1853 - 1890), antwerp, december 1885","oil on canvas, 35.2 cm x 24.4 cm","credits (obliged to state): van gogh museum, amsterdam (vincent van gogh foundation)","by choosing this contemporary subject, van gogh presented himself as a modern painter of city life. that included the margins of society and the prostitutes who lived there. this woman may not look like a prostitute at first glance. but in the nineteenth century, loose hair was a sign of loose morals. van gogh used rough brushstrokes to paint her face. he succeeded in giving her features volume and life.","F0206","JH0972","s0059V1962","35.2 cm x 24.4 cm, 52.9 cm x 41.9 cm","with his brother theo van gogh, paris, after december 1885; after theos death on 25 january 1891, inherited by his widow, jo van gogh-bonger, and their son, vincent willem van gogh, paris; administered until her death on 2 september 1925 by jo van gogh-bonger, bussum/amsterdam/laren; donated by vincent willem van gogh on 11 march 1952 to the (1st) vincent van gogh foundation, laren; transferred on 28 december 1960 by the (1st) vincent van gogh foundation to the theo van gogh foundation, laren; agreement concluded on 21 july 1962 between the (2nd) vincent van gogh foundation, amsterdam, and the state of the netherlands, in which the preservation and management of the collection, and its placing in the rijksmuseum vincent van gogh, to be realized in amsterdam, is entrusted to the state; donated on 21 july 1962 by the theo van gogh foundation to the vincent van gogh foundation; given on loan until the opening of the museum on 2 june 1973 to the stedelijk museum, amsterdam; on permanent loan to the rijksmuseum vincent van gogh from 2 june 1973 and at the van gogh museum, amsterdam, since 1 july 1994.","data\img\s0059v1962\vangoghmuseum-s0059v1962-800-rgb.jpg","data\img\s0059v1962\vangoghmuseum-s0059v1962-800-bw.jpg","[800, 547, 3]","[800, 547]","https://vangoghmuseum.nl/en/collection?genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?type=painting","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=figure (representation)","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/s0143v1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1885","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=antwerp","localhost","localhost","localhost"
"s0061V1962","portrait of an old man","vincent van gogh (1853 - 1890), antwerp, december 1885","oil on canvas, 44.4 cm x 33.7 cm","credits (obliged to state): van gogh museum, amsterdam (vincent van gogh foundation)","van gogh painted this man in antwerp (be), where he lived from late november 1885 to late february 1886. he has impressive features, as van gogh wrote to his brother theo: i have an appointment for tomorrow with a splendid old man will he come??? van gogh had a hard time finding suitable models. besides, models were expensive. but this man did show up to pose for him. van gogh thought that the mans full beard made him look like the author victor hugo. using rough but well-placed brushstrokes, he made a compelling portrait.","F0205","JH0971","s0061V1962","44.4 cm x 33.7 cm, 58.6 cm x 48.5 cm","with his brother theo van gogh, paris, after december 1885; after theos death on 25 january 1891, inherited by his widow, jo van gogh-bonger, and their son, vincent willem van gogh, paris; administered until her death on 2 september 1925 by jo van gogh-bonger, bussum/amsterdam/laren; transferred by vincent willem van gogh on 10 july 1962 to the vincent van gogh foundation, amsterdam; agreement concluded on 21 july 1962 between the vincent van gogh foundation and the state of the netherlands, in which the preservation and management of the collection, and its placing in the rijksmuseum vincent van gogh, to be realized in amsterdam, is entrusted to the state; given on loan until the opening of the museum on 2 june 1973 to the stedelijk museum, amsterdam; on permanent loan to the rijksmuseum vincent van gogh from 2 june 1973 and at the van gogh museum, amsterdam, since 1 july 1994.","data\img\s0061v1962\vangoghmuseum-s0061v1962-800-rgb.jpg","data\img\s0061v1962\vangoghmuseum-s0061v1962-800-bw.jpg","[800, 610, 3]","[800, 610]","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection/d0041v1971","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?type=painting","https://vangoghmuseum.nl/en/collection?genre=portrait","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","http://vangoghletters.org/vg/letters/let546/letter.html","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1885","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=antwerp","localhost","localhost","localhost"
"s0062V1962","head of a woman","vincent van gogh (1853 - 1890), nuenen, march 1885","oil on canvas on triplex, 42.2 cm x 34.8 cm","credits (obliged to state): van gogh museum, amsterdam (vincent van gogh foundation)","","F0080a","JH0682","s0062V1962","42.2 cm x 34.8 cm, 58.5 cm x 51 cm","probably taken from nuenen by his brother theo van gogh, paris, 31 march 1885; after theos death on 25 january 1891, inherited by his widow, jo van gogh-bonger, and their son, vincent willem van gogh, paris; administered until her death on 2 september 1925 by jo van gogh-bonger, bussum/amsterdam/laren; transferred by vincent willem van gogh on 10 july 1962 to the vincent van gogh foundation, amsterdam; agreement concluded on 21 july 1962 between the vincent van gogh foundation and the state of the netherlands, in which the preservation and management of the collection, and its placing in the rijksmuseum vincent van gogh, to be realized in amsterdam, is entrusted to the state; given on loan until the opening of the museum on 2 june 1973 to the stedelijk museum, amsterdam; on permanent loan to the rijksmuseum vincent van gogh from 2 june 1973 and at the van gogh museum, amsterdam, since 1 july 1994.","data\img\s0062v1962\vangoghmuseum-s0062v1962-800-rgb.jpg","data\img\s0062v1962\vangoghmuseum-s0062v1962-800-bw.jpg","[800, 664, 3]","[800, 664]","https://vangoghmuseum.nl/en/collection?genre=heads","https://vangoghmuseum.nl/en/collection/s0072v1962","https://vangoghmuseum.nl/en/collection/s0069v1962","https://vangoghmuseum.nl/en/collection/s0139v1962","https://vangoghmuseum.nl/en/collection/s0006v1962","https://vangoghmuseum.nl/en/collection/s0084v1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?type=painting","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=figure (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1885","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=nuenen","localhost","localhost","localhost","localhost"
"s0068V1962r","head of a man","vincent van gogh (1853 - 1890), nuenen, march-may 1885","oil on canvas, 42.5 cm x 32.1 cm","credits (obliged to state): van gogh museum, amsterdam (vincent van gogh foundation)","to practise portraying peasant types, van gogh aimed to paint at least 50 different heads. he began the project in october 1884, on the advice of an artist friend. this head of a man is one of the last in the series. the name and identity of the man are unknown. van goghs letters tell us little about his models. we only know that he found them in nuenen, where he had returned to live temporarily with his parents.","F0179r","JH0786","s0068V1962r","42.5 cm x 32.1 cm, 49 cm x 38.6 cm","with his brother theo van gogh, paris, after may 1885; after theos death on 25 january 1891, inherited by his widow, jo van gogh-bonger, and their son, vincent willem van gogh, paris; administered until her death on 2 september 1925 by jo van gogh-bonger, bussum/amsterdam/laren; given on loan by vincent willem van gogh, laren to the stedelijk museum, amsterdam, since 16 december 1930; transferred by vincent willem van gogh on 10 july 1962 to the vincent van gogh foundation, amsterdam; agreement concluded on 21 july 1962 between the vincent van gogh foundation and the state of the netherlands, in which the preservation and management of the collection, and its placing in the rijksmuseum vincent van gogh, to be realized in amsterdam, is entrusted to the state; given on loan until the opening of the museum on 2 june 1973 to the stedelijk museum, amsterdam; on permanent loan to the rijksmuseum vincent van gogh from 2 june 1973 and at the van gogh museum, amsterdam, since 1 july 1994.","data\img\s0068v1962r\vangoghmuseum-s0068v1962r-800-rgb.jpg","data\img\s0068v1962r\vangoghmuseum-s0068v1962r-800-bw.jpg","[800, 606, 3]","[800, 606]","https://vangoghmuseum.nl/en/collection?genre=heads","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?type=painting","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=figure (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1885","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=nuenen","localhost","localhost","localhost","localhost"
"s0069V1962","head of a man","vincent van gogh (1853 - 1890), nuenen, november 1884-february 1885","oil on canvas, 37.7 cm x 29.5 cm","credits (obliged to state): van gogh museum, amsterdam (vincent van gogh foundation)","","F0164","JH0558","s0069V1962","37.7 cm x 29.5 cm, 53.6 cm x 45.5 cm","with his brother theo van gogh, paris, after february 1885; after theos death on 25 january 1891, inherited by his widow, jo van gogh-bonger, and their son, vincent willem van gogh, paris; administered until her death on 2 september 1925 by jo van gogh-bonger, bussum/amsterdam/laren; given on loan by vincent willem van gogh, laren to the stedelijk museum, amsterdam, since 16 december 1930; donated by vincent willem van gogh on 11 march 1952 to the (1st) vincent van gogh foundation, laren; transferred on 28 december 1960 by the (1st) vincent van gogh foundation to the theo van gogh foundation, laren; agreement concluded on 21 july 1962 between the (2nd) vincent van gogh foundation, amsterdam, and the state of the netherlands, in which the preservation and management of the collection, and its placing in the rijksmuseum vincent van gogh, to be realized in amsterdam, is entrusted to the state; donated on 21 july 1962 by the theo van gogh foundation to the vincent van gogh foundation; given on loan until the opening of the museum on 2 june 1973 to the stedelijk museum, amsterdam; on permanent loan to the rijksmuseum vincent van gogh from 2 june 1973 and at the van gogh museum, amsterdam, since 1 july 1994.","data\img\s0069v1962\vangoghmuseum-s0069v1962-800-rgb.jpg","data\img\s0069v1962\vangoghmuseum-s0069v1962-800-bw.jpg","[800, 626, 3]","[800, 626]","https://vangoghmuseum.nl/en/collection?genre=heads","https://vangoghmuseum.nl/en/collection/s0072v1962","localhost","https://vangoghmuseum.nl/en/collection/s0139v1962","https://vangoghmuseum.nl/en/collection/s0006v1962","https://vangoghmuseum.nl/en/collection/s0062v1962","https://vangoghmuseum.nl/en/collection/s0084v1962","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?type=painting","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?genre=figure (representation)","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?date=1884","https://vangoghmuseum.nl/en/collection?date=1885","localhost","localhost","localhost","https://vangoghmuseum.nl/en/collection?place=nuenen","localhost","localhost","localhost","localhost"
